,SongName
0,When the Children Cry
1,When the Children Cry.1
2,Midnight Rendezvous
3,(Your Love Keeps Lifting Me) Higher & Higher
4,I Get the Sweetest Feeling
5,The Only Way Is Up.1
6,The Only Way Is Up
7,Besame Mucho
8,Ik wil met jou wel even poolen.1
9,Ik wil met jou wel even poolen
10,The Right Time.1
11,Closer.1
12,Radio
13,When He's Not Around
14,At Your Side
15,Secret Life
16,Dreams
17,Intimacy
18,Old Town
19,Leave Me Alone.1
20,Runaway
21,On My Father's Wings
22,The Right Time (radio edit)
23,What Can I Do.2
24,Closer
25,The Right Time
26,Una Noche (feat. Alejandro Sanz)
27,What Can I Do.1
28,Runaway (Tin Tin Out remix)
29,So Young.1
30,Leave Me Alone
31,Toss the Feathers.1
32,Rainy Day
33,So Young
34,Haste to the Wedding
35,Heaven Knows
36,I Never Loved You Anyway
37,No Frontiers
38,Someday
39,I Never Loved You Anyway.1
40,Along With the Girls
41,I Know My Love
42,Don't Say You Love Me
43,Forgiven Not Forgotten
44,Toss the Feathers
45,Only When I Sleep
46,Someday.1
47,What Can I Do
48,All in a Day
49,Breathless
50,Carraroe Jig
51,Heaven Knows.1
52,Lough Erin Shore
53,Love to Love You
54,The Minstrel Boy
55,Love Gives Love Takes
56,At Your Side.2
57,No Good for Me
58,Love Gives Love Takes.1
59,At Your Side.1
60,Queen of Hollywood
61,Secret Life.1
62,Oops Up Side Your Head
63,You Dropped the Bomb on Me
64,Outstanding
65,Petite Fleur
66,Greensleeves
67,Petite Fleur
68,Isle of Capri
69,Blue Tango
70,A mano a mano
71,Se stiamo insieme.3
72,Un buco nel cuore
73,Quando finisce un amore
74,Se stiamo insieme.2
75,Margherita
76,Se stiamo insieme.1
77,Ammassati e distanti
78,Un nuovo amico
79,Bella senz'anima.1
80,Tu sei il mio amico carissimo
81,Io canto
82,Se stiamo insieme
83,Cervo a primavera
84,Celeste nostalgia
85,Margherita.2
86,E' passata una nuvola
87,Margherita.1
88,In bicicletta
89,Questione di feeling (feat. Mina)
90,Sincerita
91,Bella senz'anima
92,"Parole sante, zia Lucia"
93,Jamaican Rhumba
94,Raspberry Swirl
95,China
96,Concertina
97,1000 Oceans
98,Humpty Dumpty
99,Daisy Dead Petals
100,Josephine
101,Spark
102,Flying Dutchman
103,Crucify
104,Smells Like Teen Spirit
105,The Wrong Band
106,Jackies Strength
107,Winter
108,Here in My Head
109,Playboy Mommy
110,Ode to the Banana King
111,Cornflake Girl.1
112,Northern Lad
113,Cornflake Girl.3
114,iieee (remixed version)
115,Cornflake Girl.2
116,Cornflake Girl
117,Bliss
118,Cuba.1
119,Cuba
120,Que sera mi vida (If You Should Go)
121,Que Sera Mi Vida (If You Should Go).1
122,Dream Weaver
123,Love Is Alive
124,Balliamo sul mondo
125,Tra palco e realta.1
126,Ti sento
127,Sulla mia strada
128,Metti in circolo il tuo amore
129,"Buon compleanno, Elvis!"
130,Il giorno di dolore che uno ha
131,Urlando contro il cielo
132,Ho perso le parole
133,Bambolina e barracuda
134,"Buon compleanno, Elvis!.1"
135,Ho messo via
136,Vivo morto o X
137,L'odore del sesso
138,Ancora in piedi.2
139,Non e tempo per noi
140,Leggero.1
141,Ancora in piedi.1
142,Seduto in riva al fosso
143,Viva!
144,"Hai un momento, Dio?.1"
145,Ancora in piedi
146,Leggero
147,Libera nos a malo
148,Sogni di rock 'n' roll
149,Quella che non sei.1
150,Bambolina e barracuda.4
151,Metti in circolo il tuo amore.1
152,Sogni di rock 'n' roll.1
153,Miss Mondo '99
154,Marlon Brando e sempre lui.1
155,Piccola citta eterna
156,Bambolina e barracuda.2
157,Tra palco e realta
158,Balliamo sul mondo.2
159,Bambolina e barracuda.3
160,Bambolina e barracuda.1
161,Balliamo sul mondo.1
162,Certe notti
163,Non e tempo per noi.1
164,Libera nos a malo.1
165,Una vita da mediano.2
166,Il mio nome e mai piu
167,Una vita da mediano.3
168,Marlon Brando e sempre lui
169,La porta dei sogni
170,Bar Mario
171,Libera nos a malo.2
172,Piccola stella senza cielo
173,Una vita da mediano
174,Una vita da mediano.1
175,Ho perso le parole.1
176,Uno dei tanti
177,Quella che non sei
178,Il mio nome e mai piu.1
179,"Hai un momento, Dio?"
180,Spring Waltz
181,Medley
182,Video Killed The Radio Star
183,Back Off Boogaloo
184,Only You (And You Alone)
185,It Don't Come Easy
186,Photograph
187,You're Sixteen.1
188,You're Sixteen
189,So What
190,Seek & Destroy
191,Bleeding Me.1
192,Seek & Destroy.4
193,Harvester of Sorrow.1
194,Welcome Home (Sanitarium).1
195,Battery
196,King Nothing
197,Ain't My Bitch.1
198,Blackened
199,Jump in the Fire.1
200,Turn the Page
201,Welcome Home (Sanitarium).3
202,Harvester of Sorrow
203,Am I Evil?
204,The God That Failed
205,Orion
206,The God That Failed.1
207,Welcome Home (Sanitarium).2
208,Trapped Under Ice
209,"Damage, Inc."
210,To Live Is to Die
211,Seek & Destroy.2
212,Seek & Destroy.3
213,Fight Fire With Fire
214,Nothing Else Matters
215,For Whom the Bell Tolls.1
216,The Four Horsemen
217,(Anesthesia)-Pulling Teeth.1
218,Seek & Destroy.1
219,The House Jack Built
220,Whiskey in the Jar
221,Creeping Death
222,Ronnie
223,For Whom the Bell Tolls
224,Leper Messiah.3
225,Mama Said.1
226,Holier Than Thou.1
227,Fade to Black.4
228,Leper Messiah.2
229,Sad but True.1
230,Wherever I May Roam.2
231,Fuel
232,Eye of the Beholder
233,Leper Messiah.1
234,Disposable Heroes
235,I Disappear
236,Wherever I May Roam.1
237,"Die, Die My Darling"
238,Blitzkrieg
239,Blackened.1
240,Sad but True
241,Fade to Black.3
242,No Remorse
243,The Memory Remains
244,Thorn Within
245,Fade to Black.2
246,Of Wolf and Man
247,Blackened.2
248,Ain't My Bitch
249,Whiplash
250,King Nothing.1
251,Fade to Black.1
252,Motorbreath
253,"Damage, Inc..1"
254,Dyers Eve
255,The Struggle Within
256,Blitzkrieg.1
257,Master of Puppets
258,Enter Sandman.1
259,Hero of the Day
260,The Shortest Straw
261,(Anesthesia)-Pulling Teeth
262,Welcome Home (Sanitarium)
263,Last Caress
264,Blitzkrieg.2
265,Enter Sandman.2
266,Enter Sandman.3
267,One.4
268,The Four Horsemen.1
269,Until It Sleeps
270,Whiskey in the Jar.1
271,Leper Messiah
272,Whiplash.1
273,My Friend of Misery.1
274,The Thing That Should Not Be.1
275,Mama Said
276,Human
277,Cure
278,Carpe Diem Baby
279,The Shortest Straw.1
280,Dont Tread on Me
281,One.1
282,Fuel.1
283,My Friend of Misery
284,My Friend of Misery.2
285,Outlaw Torn
286,The Thing That Should Not Be.2
287,Am I Evil?.1
288,Low Man's Lyric (acoustic)
289,Wherever I May Roam
290,One
291,One.3
292,Enter Sandman.4
293,Fade to Black
294,The Shortest Straw.2
295,Enter Sandman.5
296,Wasting My Hate
297,One.2
298,Low Man's Lyric (acoustic).1
299,Nothing Else Matters.4
300,No Leaf Clover
301,Through the Never
302,The Unforgiven.3
303,The Unforgiven.2
304,2 X 4
305,Hero of the Day.2
306,Nothing Else Matters.5
307,The Memory Remains.1
308,Holier Than Thou
309,Hit the Lights
310,Master of Puppets.4
311,Bleeding Me
312,The Unforgiven.1
313,Fixxxer
314,Hero of the Day.1
315,Nothing Else Matters.6
316,The Memory Remains.2
317,Nothing Else Matters.2
318,Orion.2
319,Master of Puppets.1
320,Creeping Death.3
321,The Unforgiven.5
322,Through the Never.1
323,Enter Sandman
324,The Unforgiven.4
325,Creeping Death.2
326,Ride the Lightning
327,Jump in the Fire
328,Metal Militia
329,Orion.3
330,The Unforgiven
331,Nothing Else Matters.3
