song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15;;
Pon de Replay_Rihanna.,Bass Lead,count,0,0,0,0,8,0,8,0,0,0,0,0,8,0,8,0;;
Pon de Replay_Rihanna.,Fingered Bass,count,16,0,0,0,16,0,0,0,16,0,0,0,16,0,0,0;;
Pon de Replay_Rihanna.,Percussion,count,32,0,16,0,32,0,24,0,24,0,24,0,32,0,16,0;;
"Pon de Replay_Rihanna.,""Polysynth Pad, Pon De Replay"",count,16,0,0,0,32,0,16,0,0,0,16,0,32,0,0,0";;
Pon de Replay_Rihanna.,Synth Drum,count,16,0,0,0,0,0,8,0,16,0,0,0,8,0,0,0;;
Pon de Replay_Rihanna.,Tenor Sax,count,16,0,14,0,16,0,12,4,18,0,8,0,14,0,13,2;;
Pon de Replay_Rihanna.,Voice Oohs,count,32,0,0,0,0,0,0,0,8,0,4,0,16,0,4,0;;
Pon de Replay_Rihanna.,Bass Lead,count,0,0,0,0,8,0,8,0,0,0,0,0,8,0,8,0;;
Pon de Replay_Rihanna.,Fingered Bass,count,16,0,0,0,16,0,0,0,16,0,0,0,16,0,0,0;;
Pon de Replay_Rihanna.,Percussion,count,32,0,16,0,32,0,24,0,24,0,24,0,32,0,16,0;;
"Pon de Replay_Rihanna.,""Polysynth Pad, Pon De Replay"",count,16,0,0,0,32,0,16,0,0,0,16,0,32,0,0,0";;
Pon de Replay_Rihanna.,Synth Drum,count,16,0,0,0,0,0,8,0,16,0,0,0,8,0,0,0;;
Pon de Replay_Rihanna.,Tenor Sax,count,16,0,14,0,16,0,12,4,18,0,8,0,14,0,13,2;;
Pon de Replay_Rihanna.,Voice Oohs,count,32,0,0,0,0,0,0,0,8,0,4,0,16,0,4,0;;
Kryptonite_3 Doors Down.,Calliope,count,2,1,5,0,5,0,5,2,4,2,2,3,3,1,1,0;;
Kryptonite_3 Doors Down.,Clean Guitar,count,13,0,13,0,13,0,13,0,19,0,18,6,12,0,12,0;;
Kryptonite_3 Doors Down.,DistortionGtr,count,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0;;
Kryptonite_3 Doors Down.,Fingered Bass,count,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0;;
Kryptonite_3 Doors Down.,Jazz Guitar,count,6,0,3,0,0,0,0,0,3,0,0,0,0,0,4,4;;
Kryptonite_3 Doors Down.,Overdrive Gtr,count,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0;;
Kryptonite_3 Doors Down.,Percussion,count,10,9,9,9,19,9,9,9,10,9,8,8,13,12,12,8;;
Kryptonite_3 Doors Down.,Steel Gtr.,count,40,8,10,0,8,0,2,6,26,10,2,0,16,0,6,0;;
Love Me Like You Do_Ellie Goulding.,Alto Sax,count,15,1,9,1,10,0,12,3,12,0,0,0,7,1,14,7;;
Love Me Like You Do_Ellie Goulding.,Choir Aahs,count,6,0,6,0,6,0,6,0,6,0,0,0,3,0,4,0;;
Love Me Like You Do_Ellie Goulding.,Echoes,count,91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,Fingered Bass,count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,Grand Piano,count,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,Percussion,count,20,0,9,9,18,0,18,0,9,4,18,0,21,0,9,0;;
Love Me Like You Do_Ellie Goulding.,Syn.Strings 1,count,91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,Synth Bass 2,count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,Warm Pad,count,83,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0;;
Love Me Like You Do_Ellie Goulding.,na,count,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;;
"Let Her Go_Passenger.,""Cello, Cello"",count,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0";;
"Let Her Go_Passenger.,""Fingered Bass, Fingered Bass"",count,12,0,0,0,8,0,4,4,12,1,3,1,5,2,7,3";;
"Let Her Go_Passenger.,""Glockenspiel, Glockenspiel"",count,6,0,0,0,2,2,2,0,6,0,0,0,5,5,6,5";;
"Let Her Go_Passenger.,""Grand Piano, Chords"",count,36,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0";;
"Let Her Go_Passenger.,""Grand Piano, Piano 1"",count,66,0,0,0,2,2,2,1,49,0,1,0,10,5,5,5";;
"Let Her Go_Passenger.,""Percussion, Drums"",count,32,18,20,20,32,20,26,24,32,21,23,19,32,19,21,18";;
"Let Her Go_Passenger.,""Steel Gtr., Steel-String Guitar (Centre/Lef"",count,38,21,0,0,52,36,10,34,45,23,7,7,49,40,1,37";;
"Let Her Go_Passenger.,""Steel Gtr., Steel-String Guitar (Right)"",count,32,26,2,26,52,32,6,23,51,13,9,24,43,37,12,35";;
"Let Her Go_Passenger.,""Tenor Sax, Vocal Guide"",count,8,4,8,9,9,7,8,5,9,0,2,2,7,7,6,8";;
"Let Her Go_Passenger.,""Viola, Viola"",count,8,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0";;
"Let Her Go_Passenger.,""Violin, Violin 2"",count,4,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0";;
Breakeven_The Script.,Bright Piano,count,24,0,0,0,0,0,24,0,24,0,0,0,0,0,18,0;;
Breakeven_The Script.,Clean Guitar,count,8,4,0,0,12,4,4,0,8,0,0,0,0,0,0,0;;
"Breakeven_The Script.,""E.Grand, aud_mb1177"",count,36,0,0,0,0,0,36,0,36,0,0,0,0,0,24,0";;
Breakeven_The Script.,Fingered Bass,count,12,0,12,0,12,0,12,0,12,0,12,0,12,0,9,0;;
Breakeven_The Script.,Jazz Guitar,count,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0;;
Breakeven_The Script.,Overdrive Gtr,count,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0;;
Breakeven_The Script.,Percussion,count,40,24,31,31,43,28,21,31,21,28,33,33,45,29,21,8;;
Breakeven_The Script.,Strings 1,count,12,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0;;
Breakeven_The Script.,Strings 2,count,24,0,0,0,0,0,12,0,12,0,0,0,0,0,1,0;;
Breakeven_The Script.,Tenor Sax,count,11,0,2,1,4,4,11,4,11,4,6,2,9,0,10,6;;
Breakeven_The Script.,Voice Oohs,count,3,1,2,1,2,0,2,2,2,1,2,0,2,0,0,3;;
Breakeven_The Script.,na,count,36,16,14,8,26,4,44,20,54,14,32,8,16,8,0,0;;
Not Over You_Gavin DeGraw.,Bass Lead,count,4,0,2,0,0,0,4,0,4,0,2,0,2,0,2,0;;
Not Over You_Gavin DeGraw.,Cello,count,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0;;
Not Over You_Gavin DeGraw.,E.Grand,count,24,0,44,0,0,0,46,0,49,0,22,0,25,0,22,0;;
"Not Over You_Gavin DeGraw.,""E.Grand, aud_mb1352"",count,5,0,11,0,0,0,13,0,11,0,6,0,7,0,6,0";;
Not Over You_Gavin DeGraw.,Percussion,count,98,1,14,6,40,2,26,24,55,6,17,21,50,0,28,9;;
Not Over You_Gavin DeGraw.,Polysynth Pad,count,4,0,2,0,0,0,4,0,4,0,2,0,2,0,2,0;;
Not Over You_Gavin DeGraw.,Rev. Cymbal,count,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0;;
Not Over You_Gavin DeGraw.,Syn.Strings 2,count,42,0,0,0,0,0,2,0,19,0,0,0,0,0,0,0;;
Not Over You_Gavin DeGraw.,Synth Bass 2,count,17,0,9,0,9,0,10,0,14,0,9,0,9,0,9,0;;
Not Over You_Gavin DeGraw.,Tenor Sax,count,11,0,13,0,14,0,15,0,16,0,3,0,9,0,10,0;;
Not Over You_Gavin DeGraw.,Warm Pad,count,51,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0;;
Whistle_Flo Rida.,Bass Lead,count,0,0,16,0,0,0,4,0,16,0,0,0,0,0,16,0;;
Whistle_Flo Rida.,Choir Aahs,count,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0;;
Whistle_Flo Rida.,Clean Guitar,count,0,40,40,40,40,16,16,0,40,40,40,40,40,0,0,16;;
