song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Sorry Justin Bieber,"Bass Synthesizer, MIDI Region",count,16,0,0,16,0,0,16,0,16,0,0,15,0,0,15,0
Sorry Justin Bieber,"Brass Synthesizer, MIDI Region",count,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,0
Sorry Justin Bieber,"Drumset, MIDI Region",count,37,16,10,48,18,10,40,10,33,21,21,54,28,11,61,28
Sorry Justin Bieber,"Piano, Chords",count,48,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Sorry Justin Bieber,"Piano, MIDI Region",count,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Sorry Justin Bieber,"Saw Synthesizer, MIDI Region",count,76,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
Sorry Justin Bieber,"Soprano, MIDI Region",count,4,4,0,0,4,4,4,4,6,5,1,1,5,4,4,4
Sorry Justin Bieber,"Square Synthesizer, MIDI Region",count,8,0,0,0,0,0,0,0,5,1,1,1,1,0,0,0
Sorry Justin Bieber,"Tenor Saxophone, /You ",count,10,2,2,5,13,7,4,3,7,3,5,4,11,6,7,6
Sorry Justin Bieber,"Violoncellos, MIDI Region",count,0,0,30,0,0,0,30,0,0,0,32,0,0,0,27,0
Sorry Justin Bieber,"Voice, MIDI Region",count,3,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
Sorry Justin Bieber,na,count,10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Sorry Justin Bieber,"Bass Synthesizer, MIDI Region",count,16,0,0,16,0,0,16,0,16,0,0,15,0,0,15,0
Sorry Justin Bieber,"Brass Synthesizer, MIDI Region",count,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,0
Sorry Justin Bieber,"Drumset, MIDI Region",count,37,16,10,48,18,10,40,10,33,21,21,54,28,11,61,28
Sorry Justin Bieber,"Piano, Chords",count,48,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Sorry Justin Bieber,"Piano, MIDI Region",count,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Sorry Justin Bieber,"Saw Synthesizer, MIDI Region",count,76,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
Sorry Justin Bieber,"Soprano, MIDI Region",count,4,4,0,0,4,4,4,4,6,5,1,1,5,4,4,4
Sorry Justin Bieber,"Square Synthesizer, MIDI Region",count,8,0,0,0,0,0,0,0,5,1,1,1,1,0,0,0
Sorry Justin Bieber,"Tenor Saxophone, /You ",count,10,2,2,5,13,7,4,3,7,3,5,4,11,6,7,6
