song_artist,instrument,level_1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"Eastside-benny blanco, Halsey, Khalid",Athmosphere,count,32,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Bright Piano,count,64,0,0,0,0,0,0,0,32,0,0,0,60,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Fingered Bass,count,16,0,0,16,16,0,0,0,15,0,0,15,15,0,7,0
"Eastside-benny blanco, Halsey, Khalid",Jazz Guitar,count,48,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Nylon Gtr.,count,48,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Percussion,count,35,0,19,49,16,14,66,6,30,0,16,44,14,14,64,37
"Eastside-benny blanco, Halsey, Khalid",Sci-Fi,count,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Eastside-benny blanco, Halsey, Khalid",Soundtrack,count,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Eastside-benny blanco, Halsey, Khalid",Synth Bass 2,count,16,0,0,16,16,0,0,0,15,0,0,15,15,0,7,0
"Eastside-benny blanco, Halsey, Khalid",Tenor Sax,count,11,9,8,10,12,7,9,9,15,11,12,14,15,10,11,9
"Eastside-benny blanco, Halsey, Khalid","Warm Pad, Eastside",count,44,0,0,0,0,0,0,0,18,0,0,0,27,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Athmosphere,count,32,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Bright Piano,count,64,0,0,0,0,0,0,0,32,0,0,0,60,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Fingered Bass,count,16,0,0,16,16,0,0,0,15,0,0,15,15,0,7,0
"Eastside-benny blanco, Halsey, Khalid",Jazz Guitar,count,48,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Nylon Gtr.,count,48,0,0,0,0,0,0,0,45,0,0,0,45,0,0,0
"Eastside-benny blanco, Halsey, Khalid",Percussion,count,35,0,19,49,16,14,66,6,30,0,16,44,14,14,64,37
"Eastside-benny blanco, Halsey, Khalid",Sci-Fi,count,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Eastside-benny blanco, Halsey, Khalid",Soundtrack,count,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Eastside-benny blanco, Halsey, Khalid",Synth Bass 2,count,16,0,0,16,16,0,0,0,15,0,0,15,15,0,7,0
"Eastside-benny blanco, Halsey, Khalid",Tenor Sax,count,11,9,8,10,12,7,9,9,15,11,12,14,15,10,11,9
"Eastside-benny blanco, Halsey, Khalid","Warm Pad, Eastside",count,44,0,0,0,0,0,0,0,18,0,0,0,27,0,0,0
New rules-Dua Lipa,Bright Piano,count,104,0,0,0,0,0,0,0,52,0,0,56,56,0,0,0
New rules-Dua Lipa,"E.Piano, New Rules",count,24,0,0,80,0,0,0,0,0,0,0,84,0,0,74,0
New rules-Dua Lipa,Metallic Pad,count,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New rules-Dua Lipa,Percussion,count,65,44,85,25,70,29,84,18,58,33,97,33,72,28,62,19
New rules-Dua Lipa,Rev. Cymbal,count,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New rules-Dua Lipa,Sci-Fi,count,17,0,0,0,16,0,0,0,16,0,0,0,16,0,0,0
New rules-Dua Lipa,Shanai,count,14,0,0,0,16,0,0,0,16,0,0,0,16,0,0,0
New rules-Dua Lipa,Strings 1,count,7,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0
New rules-Dua Lipa,Syn.Strings 1,count,23,0,0,0,1,0,0,0,16,0,0,0,3,0,0,0
New rules-Dua Lipa,Synth Bass 1,count,24,0,0,80,0,0,0,0,0,0,0,84,0,0,74,0
New rules-Dua Lipa,Synth Bass 2,count,22,0,1,7,2,0,3,0,10,1,8,7,0,0,3,1
New rules-Dua Lipa,Synth Voice,count,8,0,0,8,8,0,8,0,8,0,8,0,8,4,8,0
New rules-Dua Lipa,Tenor Sax,count,16,3,13,11,10,4,21,7,17,1,19,13,14,3,14,7
New rules-Dua Lipa,Voice Oohs,count,3,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0
